PROJECT;SEQUENCE;STEP;BASE;SHOULDER;ELBOW;WRIST;GRIP
thuc_tap;000001;000001;7.0633000000;-8.8000000000;10.0318000000;-8.8989000000;90.0000000000
thuc_tap;000001;000002;5.9240000000;-45.8000000000;-30.2484000000;78.0674000000;90.0000000000
thuc_tap;000001;000003;5.9240000000;-45.8000000000;-30.2484000000;78.0674000000;20.0000000000
thuc_tap;000001;000004;7.0633000000;-8.8000000000;9.8344000000;-9.1011000000;20.0000000000
thuc_tap;000001;000005;11.6203000000;24.8000000000;-34.5924000000;-2.2247000000;20.0000000000
thuc_tap;000001;000006;11.6203000000;-33.2000000000;-61.2484000000;88.3820000000;20.0000000000
thuc_tap;000001;000007;11.6203000000;-33.2000000000;-61.2484000000;88.3820000000;90.0000000000
thuc_tap;000001;000008;11.6203000000;24.8000000000;-34.7898000000;-2.2247000000;90.0000000000
thuc_tap;000001;000009;-41.2405000000;-26.8000000000;28.7898000000;-9.1011000000;90.0000000000
thuc_tap;000001;000010;-41.2405000000;-52.0000000000;-6.5541000000;55.6180000000;90.0000000000
thuc_tap;000001;000011;-41.2405000000;-52.0000000000;-6.5541000000;55.6180000000;20.0000000000
thuc_tap;000001;000012;-41.2405000000;-52.0000000000;-6.5541000000;55.6180000000;20.0000000000
thuc_tap;000001;000013;-41.2405000000;-26.8000000000;28.5924000000;-9.1011000000;20.0000000000
thuc_tap;000001;000014;-49.8987000000;16.0000000000;-16.2293000000;-9.1011000000;20.0000000000
thuc_tap;000001;000015;-49.8987000000;-37.8000000000;-50.3885000000;84.3371000000;20.0000000000
thuc_tap;000001;000016;-49.8987000000;-37.8000000000;-50.3885000000;84.3371000000;90.0000000000
thuc_tap;000001;000017;-49.8987000000;-37.8000000000;-50.3885000000;84.3371000000;90.0000000000
thuc_tap;000001;000018;-49.8987000000;16.0000000000;-16.2293000000;-9.1011000000;90.0000000000
thuc_tap;000001;000019;15.4937000000;-56.0000000000;67.0955000000;-9.1011000000;90.0000000000
thuc_tap;000001;000020;19.1392000000;-80.6000000000;68.0828000000;4.6517000000;90.0000000000
thuc_tap;000001;000021;19.1392000000;-80.6000000000;68.0828000000;4.6517000000;20.0000000000
thuc_tap;000001;000022;15.4937000000;-56.0000000000;66.8981000000;-9.1011000000;20.0000000000
thuc_tap;000001;000023;-23.2405000000;19.8000000000;-28.8662000000;-1.0112000000;20.0000000000
thuc_tap;000001;000024;-23.2405000000;-28.0000000000;-65.0000000000;81.5056000000;20.0000000000
thuc_tap;000001;000025;-23.2405000000;-28.0000000000;-65.0000000000;81.5056000000;90.0000000000
thuc_tap;000001;000026;-23.2405000000;-28.0000000000;-65.0000000000;81.5056000000;90.0000000000
thuc_tap;000001;000027;-23.2405000000;19.8000000000;-28.8662000000;-1.0112000000;90.0000000000
thuc_tap;000001;000028;-34.8608000000;-56.0000000000;66.8981000000;-9.1011000000;90.0000000000
thuc_tap;000001;000029;-29.1646000000;-82.8000000000;66.5032000000;18.2022000000;90.0000000000
thuc_tap;000001;000030;-29.1646000000;-82.8000000000;66.5032000000;18.2022000000;20.0000000000
thuc_tap;000001;000031;-27.1139000000;-56.0000000000;66.8981000000;-9.1011000000;20.0000000000
thuc_tap;000001;000032;34.1772000000;4.4000000000;-7.1465000000;-6.2697000000;20.0000000000
thuc_tap;000001;000033;36.4557000000;-37.6000000000;-55.5223000000;90.0000000000;20.0000000000
thuc_tap;000001;000034;36.4557000000;-37.6000000000;-55.5223000000;90.0000000000;90.0000000000
thuc_tap;000001;000035;33.9494000000;4.4000000000;-7.3439000000;-6.4719000000;90.0000000000
